language,format,resource_link,source_link
lao,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=lao,https://www.scriptureearth.org
lao,General,https://www.vm1.tv/lo/,https://www.persecution.com/
lao,General,https://www.bible.com/languages/lao,https://www.bible.com/versions
lao,General,https://zume.life/resources-lo/,https://zume.life/
lao,General,https://zume.training/lo/,https://zume.life/
lao,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=lo,https://www.bible.com/versions
lao,Mobile App,https://play.google.com/store/apps/details?id=org.ubs.lao.rlv,
lao,Mobile App,https://play.google.com/store/apps/details?id=org.ipsapps.laos.lao.godandmanstories.lao,https://www.internetpublishingservice.com/
lao,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
lao,Text / Printed Matter,https://www.literacyevangelism.org/primers/lao,https://www.literacyevangelism.org
lao,Text / Printed Matter,https://knowgod.com/lo,https://www.cru.org/
lao,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
vie,Audio Recordings,https://globalrecordings.net/en/language/vie,https://www.globalrecordings.net
vie,Audio Recordings,https://davarpartners.org/audio-bible-library/,https://davarpartners.org/
vie,Audio Recordings,https://www.vietchristian.net/kinhthanh/en_index.asp,
vie,Audio Recordings,https://talkingbibles.org,https://www.talkingbibles.org/
vie,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=554,https://www.gods-story.org
vie,Film / Video,https://www.indigitube.tv/?s=Vietnamese,https://www.createinternational.com
vie,Film / Video,https://www.jesusfilm.org/watch/jesus.html/vietnamese.html,https://www.jesusfilm.org
vie,Film / Video,https://www.fathersloveletter.com/Vietnamese,https://www.fathersloveletter.com/flllanguages.html
vie,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
vie,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/vietnamese.html,https://www.jesusfilm.org
vie,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/vietnamese.html,https://www.jesusfilm.org
vie,Film / Video,https://www.jesusfilm.org/watch/rivka.html/vietnamese.html,https://www.jesusfilm.org
vie,Film / Video,https://rockintl.org/rock-video/vua-vinh-hien-vietnamese-king-of-glory/,https://rockintl.org/king-of-glory/
vie,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/vietnamese.html,https://www.jesusfilm.org
vie,Film / Video,https://www.mars-hill.org/the-hope/store/the-hope/grid,https://mars-hill.org/
vie,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
vie,General,https://bibleforchildren.org/languages/vietnamese/stories.php,https://bibleforchildren.org/
vie,General,https://www.gotquestions.org/Viet/index.html,https://www.gotquestions.org
vie,General,https://live.bible.is/bible/VIEBDV,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIEBIB,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIEBMG,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIECOV,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIECPDF,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIELHG,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIELPF,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIEO98,https://www.faithcomesbyhearing.com/
vie,General,https://live.bible.is/bible/VIEWTC,https://www.faithcomesbyhearing.com/
vie,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=vie,https://www.scriptureearth.org
vie,General,https://www.vm1.tv/vi/,https://www.persecution.com/
vie,General,https://www.bible.com/languages/vie,https://www.bible.com/versions
vie,General,https://zume.life/resources-vi/,https://zume.life/
vie,General,https://zume.training/vi/,https://zume.life/
vie,Mobile App,https://app.scriptoria.io/api/products/1174dcdf-c733-4e52-8501-3613f7228495/files/published/apk,https://www.sil.org/
vie,Mobile App,https://play.google.com/store/apps/details?id=org.ubs.vie.rvv,
vie,Mobile App,https://play.google.com/store/apps/details?id=org.ubs.vb25.vie,
vie,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=vi,https://www.bible.com/versions
vie,Mobile App,https://play.google.com/store/apps/details?id=vietmd.net.eng.viet.medical.terminology,
vie,Mobile App,https://apk.fcbh.org/Vietnamese_Old_Version,https://www.faithcomesbyhearing.com/
vie,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
vie,Text / Printed Matter,https://www.biblegateway.com/versions/,https://www.biblegateway.com
vie,Text / Printed Matter,https://www.literacyevangelism.org/primers/vietnamese,https://www.literacyevangelism.org
vie,Text / Printed Matter,https://global.liveglobal.org/tieng-viet/,https://liveglobal.org/
vie,Text / Printed Matter,https://knowgod.com/vi,https://www.cru.org/
vie,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
rki,Audio Recordings,https://globalrecordings.net/en/language/rki,https://www.globalrecordings.net
rki,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=80,https://www.gods-story.org
rki,Film / Video,https://www.indigitube.tv/?s=Rakhine,https://www.createinternational.com
rki,Film / Video,https://www.jesusfilm.org/watch/jesus.html/rakhine.html,https://www.jesusfilm.org
rki,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
rki,General,https://bibleforchildren.org/languages/rakhine/stories.php,https://bibleforchildren.org/
rki,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=rki,https://www.scriptureearth.org
rki,General,https://www.bible.com/versions/3790,https://www.bible.com/versions
rki,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android,https://www.bible.com/versions
rki,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
sin,Audio Recordings,https://globalrecordings.net/en/language/sin,https://www.globalrecordings.net
sin,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=631,https://www.gods-story.org
sin,Film / Video,https://www.jesusfilm.org/watch/jesus.html/sinhala.html,https://www.jesusfilm.org
sin,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/sinhala.html,https://www.jesusfilm.org
sin,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/sinhala.html,https://www.jesusfilm.org
sin,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/sinhala.html,https://www.jesusfilm.org
sin,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
sin,General,https://bibleforchildren.org/languages/sinhalese/stories.php,https://bibleforchildren.org/
sin,General,https://www.southasiabibles.com/resource/language/sinhala,https://www.southasiabibles.com
sin,General,https://www.gotquestions.org/Sinhala/,https://www.gotquestions.org
sin,General,https://live.bible.is/bible/SINBIB,https://www.faithcomesbyhearing.com/
sin,General,https://live.bible.is/bible/SINCBS,https://www.faithcomesbyhearing.com/
sin,General,https://live.bible.is/bible/SINNRV,https://www.faithcomesbyhearing.com/
sin,General,https://live.bible.is/bible/SINR73,https://www.faithcomesbyhearing.com/
sin,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=sin,https://www.scriptureearth.org
sin,General,https://www.bible.com/languages/sin,https://www.bible.com/versions
sin,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=si,https://www.bible.com/versions
sin,Mobile App,https://play.google.com/store/apps/details?id=com.biblica.sinhala,https://play.google.com/store/apps/dev?id=7933427918774029013
sin,Mobile App,https://apk.fcbh.org/Sinhala_NR,https://www.faithcomesbyhearing.com/
sin,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
sin,Text / Printed Matter,https://www.literacyevangelism.org/primers/sinhalese,https://www.literacyevangelism.org
sin,Text / Printed Matter,https://knowgod.com/si,https://www.cru.org/
sin,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
awa,Audio Recordings,https://globalrecordings.net/en/language/awa,https://www.globalrecordings.net
awa,Audio Recordings,https://www.storyrunners.org/stories/awadhi-india/,https://www.storyrunners.org/
awa,Film / Video,https://www.jesusfilm.org/watch/following-jesus-india.html/awadhi.html,https://www.jesusfilm.org
awa,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=226,https://www.gods-story.org
awa,Film / Video,https://www.indigitube.tv/?s=Awadhi,https://www.createinternational.com
awa,Film / Video,https://www.jesusfilm.org/watch/jesus.html/awadhi.html,https://www.jesusfilm.org
awa,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/Awadhi.html,https://www.jesusfilm.org
awa,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/awadhi.html,https://www.jesusfilm.org
awa,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
awa,General,https://bibleforchildren.org/languages/awadhi/stories.php,https://bibleforchildren.org/
awa,General,https://www.southasiabibles.com/resource/language/Awadhi,https://www.southasiabibles.com
awa,General,https://live.bible.is/bible/AWAIBS,https://www.faithcomesbyhearing.com/
awa,General,https://live.bible.is/bible/AWAWTC,https://www.faithcomesbyhearing.com/
awa,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=awa,https://www.scriptureearth.org
awa,General,https://www.bible.com/languages/awa,https://www.bible.com/versions
awa,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android,https://www.bible.com/versions
awa,Mobile App,https://apk.fcbh.org/Awadhi_Bible,https://www.faithcomesbyhearing.com/
awa,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
ban,Audio Recordings,https://globalrecordings.net/en/language/ban,https://www.globalrecordings.net
ban,Film / Video,https://www.indigitube.tv/?s=Balinese,https://www.createinternational.com
ban,Film / Video,https://www.jesusfilm.org/watch/jesus.html/nusa-penida.html,https://www.jesusfilm.org
ban,General,https://bibleforchildren.org/languages/balinese/stories.php,https://bibleforchildren.org/
